epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,340.052,1.22965,0.67994,0.98762,0.84846,0.76603,0.77744,0.39084,2.21722,0.98733,0.99521,0.000346747,0.000346747,0.000346747
155,342.1,1.28588,0.68615,0.97029,0.83156,0.78722,0.79099,0.41629,2.08004,0.95232,0.97442,0.000339673,0.000339673,0.000339673
156,344.201,1.26135,0.68848,0.98562,0.81014,0.78207,0.78075,0.4192,2.14307,0.97382,0.97107,0.0003326,0.0003326,0.0003326
157,346.155,1.23523,0.69659,0.98954,0.81353,0.75061,0.75518,0.38461,2.30781,1.01295,0.99497,0.000325526,0.000325526,0.000325526
158,348.242,1.27057,0.69061,0.97627,0.84786,0.74571,0.78354,0.39765,2.11441,0.93692,0.97025,0.000318453,0.000318453,0.000318453
159,350.419,1.28751,0.69039,0.9796,0.85051,0.77434,0.80467,0.43742,1.99263,0.88446,0.96101,0.000311379,0.000311379,0.000311379
160,352.743,1.26295,0.69507,0.99032,0.80297,0.76924,0.76064,0.37701,2.37317,1.00461,1.01205,0.000304306,0.000304306,0.000304306
161,354.919,1.31272,0.69426,0.99457,0.81479,0.71802,0.72498,0.3526,2.53104,1.04245,1.03191,0.000297232,0.000297232,0.000297232
162,357.219,1.30286,0.68839,0.98365,0.82584,0.78782,0.79244,0.4542,2.07153,0.90687,0.96863,0.000290158,0.000290158,0.000290158
163,359.452,1.30612,0.69922,0.99495,0.82857,0.78804,0.80161,0.46454,2.02926,0.9016,0.97798,0.000283085,0.000283085,0.000283085
164,361.782,1.25676,0.68095,0.96865,0.82108,0.79083,0.79017,0.442,2.07712,0.91598,0.96663,0.000276011,0.000276011,0.000276011
165,363.871,1.22183,0.67578,0.96323,0.82441,0.78003,0.78605,0.43009,2.14964,0.92911,0.97578,0.000268938,0.000268938,0.000268938
166,366.114,1.23834,0.68833,0.98075,0.85101,0.77074,0.78906,0.43283,2.1324,0.9199,0.97395,0.000261864,0.000261864,0.000261864
167,368.323,1.22696,0.6894,0.995,0.85437,0.77404,0.79308,0.43528,2.10035,0.91572,0.97659,0.000254791,0.000254791,0.000254791
168,370.51,1.29287,0.69873,0.98563,0.89457,0.7261,0.78559,0.44701,2.03588,0.90056,0.96025,0.000247717,0.000247717,0.000247717
169,372.765,1.22609,0.66274,0.98474,0.89453,0.72451,0.78262,0.43345,2.06126,0.91023,0.96096,0.000240644,0.000240644,0.000240644
170,374.985,1.23198,0.68264,0.98445,0.83292,0.73953,0.75536,0.37408,2.33549,0.97884,1.00082,0.00023357,0.00023357,0.00023357
171,377.086,1.21881,0.68085,0.97803,0.82859,0.73494,0.75175,0.38647,2.28945,0.96965,0.99998,0.000226497,0.000226497,0.000226497
172,379.351,1.25685,0.67166,0.95677,0.88381,0.73722,0.79707,0.43958,2.00883,0.89649,0.96094,0.000219423,0.000219423,0.000219423
173,381.539,1.27111,0.68126,0.97043,0.88654,0.73552,0.79202,0.42698,2.08469,0.9476,0.9697,0.000212349,0.000212349,0.000212349
174,383.801,1.17999,0.65822,0.96738,0.87842,0.71456,0.76572,0.38966,2.2639,0.99185,0.99144,0.000205276,0.000205276,0.000205276
175,386.054,1.23561,0.67471,0.97877,0.8146,0.76602,0.76791,0.41152,2.15643,0.93719,0.97595,0.000198202,0.000198202,0.000198202
176,388.237,1.23447,0.66697,0.96827,0.82673,0.79309,0.80481,0.46719,1.95229,0.88144,0.95562,0.000191129,0.000191129,0.000191129
177,390.491,1.24055,0.67108,0.96707,0.85268,0.76918,0.80655,0.47154,1.9679,0.88027,0.9602,0.000184055,0.000184055,0.000184055
178,392.831,1.22914,0.65712,0.97106,0.82615,0.77099,0.78416,0.43175,2.12839,0.92984,0.97605,0.000176982,0.000176982,0.000176982
179,394.946,1.22602,0.67526,0.98081,0.8035,0.78473,0.78355,0.43327,2.10416,0.92687,0.96784,0.000169908,0.000169908,0.000169908
180,397.025,1.19694,0.65691,0.96754,0.83617,0.79465,0.8028,0.44661,2.06127,0.9099,0.97032,0.000162835,0.000162835,0.000162835
181,399.197,1.23893,0.68179,0.95042,0.8376,0.7932,0.79836,0.43618,2.08502,0.90957,0.97429,0.000155761,0.000155761,0.000155761
182,401.379,1.17731,0.65971,0.98129,0.82641,0.77294,0.76987,0.3738,2.31623,0.97323,1.00439,0.000148687,0.000148687,0.000148687
183,403.568,1.23756,0.6722,0.9572,0.81763,0.77407,0.77316,0.36347,2.34656,0.98154,1.00991,0.000141614,0.000141614,0.000141614
184,405.664,1.21444,0.66291,0.95923,0.8253,0.78606,0.79514,0.4318,2.09655,0.91314,0.97363,0.00013454,0.00013454,0.00013454
185,407.86,1.19996,0.6485,0.96404,0.81911,0.78754,0.79293,0.44053,2.06633,0.90556,0.96334,0.000127467,0.000127467,0.000127467
186,410.223,1.19445,0.6495,0.9662,0.83134,0.75816,0.77865,0.40613,2.20739,0.95165,0.97128,0.000120393,0.000120393,0.000120393
