epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,271.934,0.97827,0.56207,0.83295,0.86682,0.81576,0.84262,0.53587,1.70617,0.84979,0.87423,0.000566027,0.000566027,0.000566027
124,274.108,0.97118,0.55732,0.83404,0.89457,0.80448,0.83808,0.53447,1.69898,0.88287,0.87286,0.000558953,0.000558953,0.000558953
125,276.211,0.9486,0.55085,0.84158,0.90215,0.80501,0.8381,0.52429,1.67951,0.85204,0.87034,0.00055188,0.00055188,0.00055188
126,278.39,0.9501,0.55617,0.83132,0.91302,0.78728,0.84296,0.53559,1.68465,0.85309,0.86476,0.000544806,0.000544806,0.000544806
127,280.539,0.93437,0.54846,0.82601,0.90046,0.80433,0.85244,0.55832,1.58927,0.8399,0.85791,0.000537733,0.000537733,0.000537733
128,282.632,0.97859,0.55879,0.8336,0.90235,0.80474,0.85539,0.54058,1.6118,0.83575,0.86071,0.000530659,0.000530659,0.000530659
129,284.782,0.97481,0.56528,0.83369,0.90814,0.80996,0.85107,0.51835,1.73836,0.8395,0.87019,0.000523586,0.000523586,0.000523586
130,286.968,0.99851,0.56222,0.83655,0.8918,0.82829,0.86672,0.55839,1.63722,0.80269,0.8648,0.000516512,0.000516512,0.000516512
131,289.086,1.01553,0.57534,0.83166,0.88901,0.82702,0.86488,0.55072,1.63542,0.81359,0.86236,0.000509438,0.000509438,0.000509438
132,291.333,0.9747,0.55304,0.8259,0.89173,0.81278,0.86029,0.55095,1.64674,0.80259,0.86255,0.000502365,0.000502365,0.000502365
133,293.603,0.95257,0.55098,0.82398,0.87623,0.82288,0.86386,0.55761,1.61707,0.78803,0.86358,0.000495291,0.000495291,0.000495291
134,295.728,0.93655,0.53522,0.82774,0.8606,0.81745,0.85932,0.56141,1.62728,0.78959,0.86103,0.000488218,0.000488218,0.000488218
135,297.758,0.91877,0.53039,0.83435,0.88065,0.80891,0.85776,0.55984,1.62483,0.78622,0.85967,0.000481144,0.000481144,0.000481144
136,299.687,0.94541,0.54525,0.83438,0.89868,0.80172,0.86226,0.55918,1.62531,0.77489,0.86336,0.000474071,0.000474071,0.000474071
137,301.862,0.92876,0.54589,0.83621,0.8606,0.82895,0.86363,0.55221,1.63946,0.78993,0.86109,0.000466997,0.000466997,0.000466997
138,304.079,0.95491,0.5467,0.8333,0.88087,0.817,0.85799,0.56792,1.56117,0.80019,0.86243,0.000459924,0.000459924,0.000459924
139,306.244,0.9351,0.55118,0.83158,0.91009,0.80508,0.86675,0.55193,1.62467,0.80061,0.8637,0.00045285,0.00045285,0.00045285
140,308.3,0.96032,0.54344,0.82644,0.90464,0.81628,0.86735,0.56444,1.58527,0.78104,0.86008,0.000445777,0.000445777,0.000445777
141,310.529,0.92052,0.53944,0.83168,0.8934,0.82477,0.8657,0.57418,1.54955,0.78625,0.85829,0.000438703,0.000438703,0.000438703
142,312.716,0.95258,0.54616,0.83418,0.87796,0.83775,0.86299,0.55425,1.63429,0.79451,0.86795,0.000431629,0.000431629,0.000431629
143,314.874,0.94258,0.55455,0.83788,0.91362,0.81042,0.85654,0.54045,1.65794,0.79868,0.87059,0.000424556,0.000424556,0.000424556
144,317.104,0.96277,0.537,0.82464,0.90109,0.81701,0.85333,0.55419,1.59083,0.80487,0.86881,0.000417482,0.000417482,0.000417482
145,319.247,0.95341,0.54574,0.83239,0.8945,0.81776,0.85959,0.52774,1.67779,0.82282,0.86958,0.000410409,0.000410409,0.000410409
146,321.477,0.97275,0.54768,0.83794,0.8926,0.816,0.85393,0.54547,1.62502,0.80871,0.86243,0.000403335,0.000403335,0.000403335
147,323.579,0.92778,0.54027,0.8323,0.89312,0.8208,0.85564,0.56296,1.58142,0.81928,0.86031,0.000396262,0.000396262,0.000396262
148,325.818,0.93086,0.5407,0.83287,0.88917,0.82266,0.85864,0.57328,1.53828,0.79535,0.85405,0.000389188,0.000389188,0.000389188
149,327.929,0.93423,0.53022,0.82897,0.89386,0.81565,0.85602,0.56844,1.55791,0.79199,0.85531,0.000382115,0.000382115,0.000382115
150,330.265,0.92834,0.53534,0.82549,0.90105,0.80238,0.84809,0.56185,1.58226,0.79722,0.86122,0.000375041,0.000375041,0.000375041
151,332.404,0.91661,0.54295,0.82338,0.88462,0.81621,0.85301,0.56254,1.56528,0.79296,0.85747,0.000367967,0.000367967,0.000367967
152,334.612,0.92219,0.52239,0.82765,0.89633,0.81483,0.84965,0.538,1.64851,0.80928,0.86792,0.000360894,0.000360894,0.000360894
153,336.758,0.93541,0.54513,0.83526,0.88137,0.81791,0.84559,0.55703,1.62154,0.81172,0.86893,0.00035382,0.00035382,0.00035382
154,339.013,0.88797,0.51693,0.82847,0.86998,0.81486,0.84378,0.57088,1.56602,0.79894,0.86122,0.000346747,0.000346747,0.000346747
155,341.27,0.92151,0.52376,0.82045,0.87937,0.81241,0.84912,0.56722,1.56577,0.8039,0.86075,0.000339673,0.000339673,0.000339673
